headline,is_sarcastic,emotion
"Just what we needed, activists come together for disaster relief.",1,solidarity
Corporations 'Uplift' Employees with Mandatory Overtime,1,empowerment
Minister shocked by consequences of own policy,0,contempt
"Government Fixes Traffic with More Signs, Brilliant",1,admiration
Residents Build Benches in Park,0,sincerity
Stock Market Opening Bell Rings with High Expectations,0,anticipation
Counting down to partners birthday surprise,0,anticipation
Women Worldwide March for Gender Equality,0,solidarity
Former students revisit classrooms before demolition,0,nostalgia
bausch & lomb introduces line of aviator contacts,1,humor
Newborn's Arrival Brings Tenderness to Overjoyed Parents,0,love
Veterans Start Mentorship Programs for Youth,0,empowerment
Walkmans Updated with Modern Tech Inside,0,nostalgia
Politicians great turnout photo shows empty seats,1,embarrassment
"Elite, Creating Varied Plans",1,hope
Camera Captures Extra Shadow,0,curiosity
"Addiction Rates Climb, Treatment Centers Full",0,concern
Journalists Race to Misreport the Facts,1,intensity
"Amazing, Wi-Fi outage during streaming, thrilling",1,excitement
"New Study: Procrastination Leads to Better Ideas, Eventually",0,humor
Local Bands Song Hits Radio Top 10,0,joy
Student Organizes Book Drive,0,sincerity
"Wow, air pollution hits record levels",1,somber irony
Local Chef Fearlessly Burns Cake for Fundraiser,1,sincerity
"Government Loses Files, Peak Organization",1,embarrassment
Activists March Together Demanding Racial Justice Reforms,0,solidarity
Locals revisit the joy of tuning radios by hand,1,nostalgia
Families visit historical landmarks restored to original beauty,0,nostalgia
Court case concludes fairly,0,drama
"Biologist Maps Genome, Advances Medical Research",0,admiration
"Bravo, Parading While Starving",1,activism
Tenant Faces Eviction for Wheelchair Ramp,0,disapproval
Astronomers detect new exoplanet with possible life,0,surprise
Fans react with light joy at dramatic finale,1,intensity
Forgotten War Memorial Vines Overgrown,0,sadness
Chef Hosts Free Cooking Classes for Low-Income Families,0,sincerity
Chef's Organic Farm Raided for Pesticide Traces,0,somber irony
"Great, hospitals short on staffso exciting",1,somber irony
"Wow, traffic jam during rush hourheart racing",1,anticipation
"Desert Blooms with Flowers Overnight, Tourists React with Surprise",0,surprise
Citizens demand accountability from politicians,0,somber irony
"Scientist Loses Pen, Science Halts Forever",1,sadness
Tragic Event: Celebrity 'Forgets' Lines in Interview,1,sadness
Looking forward to partners surprise gift,0,anticipation
"Dancers Celebrate Fusion, Tripping in Sync",1,solidarity
Parent helped me with work project,0,love
Just what we needed: a committee to discuss forming another committee,1,anger
"Crowded Event Lines, Claustrophobia Builds Excitement",1,anticipation
Last Reel-to-Reel Tape Snaps,0,sadness
Tech Firm Censors Critical Reviews,0,disapproval
kevin bacon will come after you if you talk or text during a movie,0,humor
Breathless Anticipation for Resolution 'Breaking' Soon,1,excitement
"Oh, success feels empty without gratitude",1,reflection
u.s. mint introduces new double-stuf quarters,1,humor
"Employee posts ironic how to lead guide, goes viral",1,empowerment
uneventful past finally catches up to boring man,1,humor
Hospitals overwhelmed by emergency cases,0,somber irony
"Well Done, Supporting Recovery Effortlessly",1,hope
Locals gather to remember when everything took longer,1,nostalgia
Old photo booth restored in city center plaza,0,nostalgia
"Local Band Tops Charts, Hometown Throws Party",0,joy
"Old Schoolhouse Restored, Evoking Wistful Memories of Youth",0,nostalgia
Seniors enjoy slow tai chi sessions in park,0,relaxation
City Repairs Potholes on Elm Street Over Weekend,0,neutral
Rain Falls Up in Small Circle,0,curiosity
"Ace, Pushing Upgrades They Block",1,activism
New Moms Bond Over Shared Joys in Support Group Meetings,0,love
"Oh great, students come together for disaster relief again.",1,solidarity
Tourists drift calmly on riverboats through misty morning,0,relaxation
Romantic drive with partnerso fun,0,love
Legal ruling impacts local community,0,drama
Emotional Wellness Proponents Demand Resources,0,activism
Town Builds Statue to Honor Lost Remote Control,1,humor
"Oceans Clean Themselves, Plastic Dissolves",1,hope
Seed Sprouts in Sealed Vacuum Jar,0,curiosity
"Best, Targeting Practices They Support",1,activism
Transnational Teams Advocate Ocean Cleanup,0,activism
"Forgotten Diary Found in Attic, Whose Story Does It Tell?",0,curiosity
"Incredible, heatwaves force school closures",1,somber irony
"Way to Go, Rising Ventures Always",1,hope
rupert murdoch bashes as 'nonsense' concerns about sexual harassment at fox,0,anger
Wedding Planner Sued Over Botched Ceremony,0,drama
"Great, public services collapseheart racing",1,somber irony
"City Cuts Public Transit, Claims Walking Is ""Healthier""",1,anger
Towns Parade Float Breaks Down Mid-Route,0,embarrassment
"AI Achieves Human-Level Creativity, Developers Express Disbelief",0,surprise
Neighbors come together to protect local parks.,0,solidarity
Pet learned new trickhappy bonding,0,love
"Oh yes, more his & hers merch everywhere",1,love
Therapies 'Heal' by Charging Per Session,1,empowerment
"Government Declares Paperwork Fun, Astonishing",1,surprise
Commuters relax after train stops indefinitely,1,relaxation
insect with limitless flying space rockets straight for man's pupil,1,humor
how to raise kids who can 'love and be loved',0,joy
"Newborn Panda Sneezes, Internet Melts in Cuteness",0,joy
Counselors Support Mental Health Recovery,0,hope
Shockinganother celebrity accidentally leaked an album,1,surprise
"Ace, Frights After Shakes",1,concern
"Reporter claims smooth broadcast ahead, drops cue cards",1,embarrassment
"Just what we needed, workers lend a hand in disaster relief.",1,solidarity
Locals cherish annual re-enactment of citys first fair,0,nostalgia
Counting down to online gaming tournament,0,anticipation
Student Bravely Writes Thank-You Notes With Missing Names,1,sincerity
Museums yesterday and today exhibit draws nostalgic crowds,0,nostalgia
Cultural Sites at Risk from Urban Development,0,fear
Activists Exhibit Scorn for Environmental Neglect,0,contempt
Women host skill-building workshops,0,empowerment
"War-Torn Regions Suffer, Humanitarian Aid Urgently Needed",0,concern
Sunset festival promotes slowing down and savoring life,0,relaxation
"Study: Yelling at Laptop Fixes Bugs, Brilliant",1,disapproval
"Desertification Spreads, Lands Turn Barren",0,concern
"Town Bans Hats, Redefines Fashion, Incredible",1,admiration
Political Figures Rally Supporters for Immigration Rights,0,activism
Students face intense pressure in final exams,0,intensity
"Wow, floods disrupt traffic everywhere",1,somber irony
Reflection Ages Differently,0,curiosity
Another Oil Lobbyist in Regulatory Role,1,disapproval
Volunteers Train Communities in Disaster Prep,0,empowerment
"Butterfly Migration Alters Path Dramatically, Observers in Surprise",0,surprise
Town Opens New Recycling Center on Main Street,0,neutral
"Protest is mostly peaceful, chaos breaks out",1,intensity
Heritage Protectors Aim to Safeguard Traditions,0,activism
"Elderly man learns to code, creates hit app",0,surprise
Residents Rally for Park Preservation Efforts,0,activism
Beach Day Fun Waves and Sunshine for All Ages,0,joy
Astronomers Find Planet with Two Suns Setting,0,curiosity
X-Ray Technician Aids in Diagnoses,0,admiration
"Great, computer froze mid-report, adrenaline overload",1,excitement
"Caf promises fast service, customers still waiting",1,embarrassment
Historians Reclaim Narratives of Forgotten Heroes,0,empowerment
Shocking! Streaming service removes your favorite show,1,surprise
Businesses Adopt Ethical Practices for Better World,0,hope
Butterfly Lands Only on Left Shoulders,0,curiosity
"Jumbo, Pushing Disarmament with Toy Guns",1,activism
Students Run Food Drive for Needy,0,sincerity
Host calls guest by former partners name,0,embarrassment
"Oh joy, politicians fail to pass key laws",1,somber irony
changing the playlist in my head,0,neutral
"Actors Line Flub Steals the Show, Obviously",1,embarrassment
Flower Arranging Class Blooms with Creativity,0,joy
Campaigners Advocate for Equality with Fierce Devotion,0,love
Towns Old Bridge Shines Bright Purple at Night,0,surprise
Local Doctor Offers Free Health Screenings,0,sincerity
"Government Prints Wrong Logo, Design Pros",1,embarrassment
"Fantastic, Ignoring Curfews for Attention",1,activism
"Oh great, citizens organize climate action campaigns.",1,solidarity
Minister defends chaos as vibrant governance,1,contempt
Equality panel features all billionaires,1,contempt
Citizens join sunrise yoga along riverside,0,relaxation
"CEOs Email Leak, Privacy Champion of the Year",1,embarrassment
Unwavering Determination to 'Protest' from the Couch,1,activism
Storytellers Inspire Hope Through Narratives,0,hope
horrified geologists uncover millions of rocks in sprawling mass grave,1,humor
New App Empowers You to Waste More Time Scrolling Mindlessly,1,empowerment
morgan freeman's snapchat fail is hilariously perfect,0,humor
Protesters clash with police in chaotic scenes,0,intensity
Researchers warn about mental health impact of isolation,0,fear
Authorities confirm rising groundwater contamination,0,fear
Residents Volunteer at Animal Rescue Center,0,sincerity
"Fantastic, canceled train, heart racing",1,excitement
"Man Reinvents Wheel, Expects Global Praise",1,anger
Faded Family Portrait in Attic,0,sadness
"Fantastic, love-themed commercials nonstop",1,love
River trail invites city dwellers to breathe again,0,relaxation
Employees practice mindfulness while ignoring memos,1,relaxation
Markets Anticipate Boom in Green Tech,0,hope
Empty Rocker Faces Sunset,0,sadness
ganymede totalled in three-moon pileup,1,humor
Cant wait for next weeks apocalypse update,1,fear
congressman lets his guitar do the talking,1,humor
Athletes endure grueling endurance test in marathon,0,intensity
Upgrades Improve Connectivity in Remote Regions,0,hope
"Oh, coffee machine broke, thrill",1,excitement
Town Approves New Crosswalk Near School,0,neutral
Loyal Teams Commit to Poverty Alleviation,0,activism
"Scientist Claims Coffee Cures All, Obviously",1,humor
Somnologist Studies Sleep Patterns,0,admiration
Because nothing says solidarity like volunteers raise awareness about local cleanup.,1,solidarity
First day at dream job,0,excitement
Snow Falls Upward in Small Patch,0,curiosity
Citizens savor first snow in perfect silence,0,relaxation
Music Festival Canceled Due to Artist Boycotts,0,drama
"Another ""Green"" Product Made in Sweatshop",1,disapproval
"Company holds slow work experiment, chaos ensues",1,relaxation
"Fabulous, Job Market Ignoring Qualified Applicants",1,anger
Partners honest conversation strengthens bond,0,drama
"Oh Joy, 'Reminiscing' About Traffic Jams of Yesteryear",1,nostalgia
Farmers worried as pests destroy early harvest,0,fear
Adventure Park Expansion: New Thrills Added for Ultimate Fun,0,excitement
Talent Show Jugglers Drop Nothing,0,joy
Who doesnt enjoy a surprise earthquake at 3 a.m.?,1,fear
Officials explain incompetence as bold leadership,0,contempt
School Replaces Counselors with App,0,disapproval
Residents rediscover the thrill of using paper maps incorrectly,1,nostalgia
"Wow, family argument over birthday cake",1,drama
Towns most punctual event delayed two hours,1,embarrassment
Long-distance partner sent loving message,0,love
"Mangrove Destruction Accelerates, Coastal Protections Weaken",0,concern
Enzyme Disbelief: Flowers Bloom in Spring,1,surprise
Man Invents Time Machine to Skip Work Emails,1,anger
"School Budget Slashed, Parents Outraged at Program Cuts",0,anger
Forest fires destroy large areas of land,0,somber irony
Local radio mixes up news stories mid-broadcast,0,embarrassment
Stranger Recites Childhood Memory,0,curiosity
Teachers Slide Deck Shows Personal Photos,0,embarrassment
Teachers 'Unionize' to Complain More Effectively,1,solidarity
Committed Volunteers Work to Reduce Plastic Use,0,activism
"Well Done, Painting for Likes Only",1,activism
